Lol,Date,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
Segment:G,9/14/2007,2.1122,2.023,2.0064,1.922,1.9117,1.9637,2.2222,2.4292,2.5017,3.0405,3.4322,3.6746,3.8682,3.8743,3.9179,3.781,3.6748,3.3586,3.1971,2.8797,2.7958,2.6703,2.4046,2.1713
Segment:G,9/15/2007,2.0561,2.0325,1.9375,1.866,1.8436,1.7903,1.8401,1.9619,1.9954,2.2029,2.4185,2.467,2.5743,2.5566,2.5914,2.4966,2.4643,2.2972,2.2124,2.1935,2.2352,2.1689,2.1014,1.9849
Segment:G,9/16/2007,1.8933,1.7696,1.7129,1.6817,1.6691,1.6467,1.6132,1.5228,1.4825,1.6403,1.954,2.0796,2.0945,2.1566,2.0978,1.9925,2.0002,1.9997,2.0873,2.0164,2.0048,1.9263,1.8642,1.8267
Segment:G,9/17/2007,1.7618,1.7087,1.6753,1.6844,1.6497,1.7121,1.9203,2.0931,2.0991,2.672,2.8494,2.9394,3.0773,3.1177,3.1611,3.1801,3.2489,2.9392,2.6891,2.6248,2.5897,2.3396,2.0784,1.9162
Segment:G,9/18/2007,1.8528,1.7824,1.7223,1.6561,1.6788,1.7236,1.8848,2.005,2.0235,2.3911,2.8897,3.0134,3.2681,3.3785,3.5,3.6532,3.5821,3.1922,2.847,2.6109,2.6156,2.4302,2.1134,1.9522
Segment:G,9/19/2007,1.8649,1.7795,1.73,1.7035,1.7424,1.7376,1.8981,2.0616,2.0364,2.6419,3.0159,3.1556,3.3136,3.4313,3.6673,3.7195,3.6319,3.4251,3.0105,2.9115,2.9178,2.5956,2.1829,1.9958
Segment:G,9/20/2007,1.9243,1.8406,1.7871,1.7949,1.7683,1.7758,2.034,2.2154,2.1115,2.6229,3.053,3.1927,3.3499,3.373,3.3673,3.3518,3.2528,3.0492,2.8252,2.7157,2.8134,2.5673,2.1751,2.0508
Segment:G,9/21/2007,1.9403,1.8532,1.8478,1.8014,1.7761,1.826,1.9656,2.0941,2.1654,2.5835,2.8894,3.2054,3.4549,3.5286,3.6958,3.7436,3.7572,3.6524,3.2961,3.0152,2.8341,2.7299,2.4554,2.2131
Segment:G,9/22/2007,2.1196,2.0263,1.9796,1.9596,1.9431,1.936,1.9697,2.066,2.0698,2.2584,2.7914,3.0909,3.1345,3.2035,3.1609,3.2375,3.2816,3.307,3.1303,3.1078,2.9063,2.7803,2.5376,2.3228
Segment:G,9/23/2007,2.2424,2.1297,2.0886,1.9774,1.961,1.9557,1.9438,1.889,1.8878,1.9651,2.2811,2.5375,2.5835,2.6547,2.726,2.7121,2.7305,2.6938,2.7517,2.7969,2.6616,2.3657,2.174,2.0762
Segment:G,9/24/2007,1.9191,1.8932,1.8507,1.816,1.7619,1.8364,2.0686,2.1947,2.1685,2.6919,3.0808,3.3254,3.4641,3.42,3.5276,3.6841,3.7879,3.5081,3.0265,2.9454,2.7968,2.4622,2.1738,1.9904
Segment:G,9/25/2007,1.9289,1.8149,1.8107,1.7876,1.7569,1.7932,2.0202,2.2254,2.2271,2.8436,3.1843,3.3956,3.8311,3.9098,4.1504,4.4158,4.2598,4.0227,3.5311,3.3658,3.2797,2.921,2.5223,2.3008
Segment:G,9/26/2007,2.1787,2.0882,1.9629,1.8906,1.8699,1.9082,2.1402,2.2901,2.4039,3.0298,3.5278,3.9197,4.2802,4.516,4.9023,5.0478,4.836,4.463,3.9862,3.7837,3.6455,3.1965,2.8754,2.5573
Segment:G,9/27/2007,2.4077,2.2412,2.1603,2.0845,2.0624,2.0793,2.416,2.7648,2.6874,3.1886,3.6521,4.1107,4.4382,4.536,4.584,4.6993,4.5745,4.3525,3.9451,3.684,3.5814,3.0499,2.7045,2.4321
Segment:G,9/28/2007,2.2996,2.1424,2.0813,2.0139,2.0012,2.0759,2.2634,2.5498,2.6138,3.0457,3.3166,3.7188,4.0736,3.9837,3.9396,3.8542,3.863,3.5206,3.1536,2.9632,2.8893,2.7279,2.4059,2.1382
Segment:G,9/29/2007,1.9898,1.9182,1.883,1.8607,1.7913,1.7967,1.8936,1.8847,1.9343,2.1961,2.5182,2.5993,2.728,2.8435,2.8418,2.9081,2.8212,2.6899,2.6744,2.534,2.4207,2.3685,2.1538,1.9634
Segment:G,9/30/2007,1.8765,1.8037,1.7619,1.7513,1.708,1.7314,1.7486,1.7195,1.6293,1.7258,2.0625,2.3653,2.4715,2.5029,2.4337,2.4658,2.426,2.4362,2.376,2.4684,2.4807,2.2006,2.0773,2.0322
Segment:G,10/1/2007,1.9153,1.8619,1.7952,1.7834,1.7765,1.833,2.0533,2.2149,2.1845,2.7518,3.1566,3.2439,3.4099,3.5844,3.6672,3.7002,3.7196,3.4644,3.0467,2.8454,2.6621,2.4724,2.2094,2.0875
Segment:G,10/2/2007,1.9942,1.878,1.8465,1.7863,1.7857,1.8312,2.0408,2.231,2.1475,2.7363,3.1413,3.4066,3.5621,3.6688,3.7838,3.8524,3.8807,3.5551,3.3104,3.0578,2.9069,2.7227,2.371,2.1305
Segment:G,10/3/2007,1.9466,1.9127,1.8836,1.8782,1.8313,1.8906,2.1696,2.4699,2.518,2.979,3.3564,3.6938,3.914,4.0175,4.1014,4.3185,4.2659,3.8807,3.5233,3.3303,3.3636,2.8441,2.5207,2.1743
Segment:G,10/4/2007,2.0507,1.999,1.9705,1.944,1.8928,1.9839,2.2632,2.533,2.5139,3.0802,3.4261,3.6735,3.776,4.0456,4.2935,4.4807,4.6049,4.167,3.7663,3.3819,3.2517,2.8612,2.4926,2.1838
Segment:G,10/5/2007,2.0924,2.0288,2.0147,1.9903,1.9922,2.0509,2.2916,2.5423,2.7113,3.169,3.5591,3.7228,3.847,3.7863,3.7793,4.0286,4.0777,3.5013,3.2651,3.0348,2.9887,2.7705,2.5236,2.2964
Segment:G,10/6/2007,2.1662,2.0462,1.9795,1.9104,1.8844,1.9038,2.0101,2.0514,2.1344,2.3886,2.9179,3.1879,3.2397,3.2215,3.2519,3.3043,3.3941,3.3232,3.2116,2.9526,2.8197,2.6106,2.4524,2.2187
Segment:G,10/7/2007,2.1393,1.9935,1.9358,1.8831,1.8763,1.893,2.102,2.1051,2.036,2.2558,2.4047,2.7149,2.9993,3.2367,3.2835,3.1286,3.032,3.0045,3.0876,3.0395,3.0028,2.7267,2.6447,2.5372
Segment:G,10/8/2007,2.3634,2.134,2.0878,1.9991,2.0084,2.0784,2.2552,2.6014,2.6041,3.3059,3.6077,3.9852,4.2892,4.5913,4.5923,4.6993,4.697,4.391,3.9559,3.5425,3.3128,3.0695,2.6398,2.3521
Segment:G,10/9/2007,2.1975,2.1038,2.0662,2.0523,1.9881,2.0889,2.308,2.5445,2.5352,3.2552,3.8721,4.3093,4.7025,4.741,4.7229,4.8856,4.7548,4.3763,3.9094,3.5659,3.4354,3.0597,2.6265,2.3439
Segment:G,10/10/2007,2.2819,2.1403,2.0551,2.0037,1.9886,2.0852,2.3372,2.6537,2.6401,3.3098,3.6954,4.0102,4.1088,4.0777,4.1681,4.1192,4.182,3.9513,3.5762,3.2513,3.2414,2.8349,2.4876,2.1952
Segment:G,10/11/2007,2.0534,1.9389,1.9081,1.8365,1.8461,1.8769,2.0406,2.2985,2.3515,2.8254,3.0423,3.1582,3.2485,3.225,3.2077,3.1585,3.0036,2.7818,2.7238,2.5868,2.478,2.4256,2.173,1.9048
Segment:G,10/12/2007,1.7822,1.737,1.7131,1.704,1.7029,1.7382,1.9613,2.1658,2.1395,2.4023,2.6666,3.001,3.1495,3.0057,3.0107,3.1281,3.0635,2.7949,2.6102,2.5916,2.5182,2.3348,2.1551,1.9634
Segment:G,10/13/2007,1.8624,1.7398,1.7288,1.6829,1.6815,1.6728,1.7547,1.7845,1.8105,1.973,2.135,2.0976,2.1354,2.2057,2.1645,2.1778,2.2262,2.2809,2.2528,2.2741,2.1978,2.1106,2.0028,1.8232
Segment:G,10/14/2007,1.7864,1.7453,1.7074,1.6819,1.696,1.6585,1.6972,1.6531,1.5528,1.671,1.9048,2.0069,2.0205,2.1189,2.0995,2.0141,1.9984,1.8244,1.8898,1.9758,2.0672,1.9564,1.8863,1.8297
Segment:G,10/15/2007,1.7618,1.7113,1.6764,1.6737,1.6922,1.7307,1.9111,2.136,2.1791,2.5441,2.8299,2.9885,3.0307,3.0958,3.2963,3.1836,3.1792,2.9228,2.7026,2.5155,2.4738,2.2565,2.0332,1.8906
Segment:G,10/16/2007,1.8515,1.7464,1.7384,1.7198,1.6858,1.7617,1.9023,2.1385,2.1455,2.6271,2.8147,3.0817,3.2123,3.2047,3.3656,3.3627,3.3177,2.9682,2.8058,2.7196,2.6393,2.4144,2.0833,1.8922
Segment:G,10/17/2007,1.8354,1.8237,1.7868,1.7627,1.7545,1.7977,1.9935,2.1639,2.2196,2.6405,2.8906,3.0637,3.2071,3.3838,3.5497,3.5827,3.5947,3.5133,3.2832,2.9994,2.7863,2.5346,2.1995,2.0143
Segment:G,10/18/2007,1.8716,1.8066,1.742,1.7377,1.701,1.7978,1.9152,2.1952,2.1881,2.6792,2.9734,3.3061,3.4809,3.5711,3.6943,3.5967,3.477,3.2973,3.1466,3.1273,2.9958,2.8071,2.4235,2.1509
Segment:G,10/19/2007,2.0556,1.9907,1.9235,1.9124,1.902,1.9467,2.1347,2.4612,2.5909,3.0183,3.4349,3.583,3.5194,3.5167,3.5474,3.5044,3.4366,3.223,3.1945,3.0997,2.8273,2.7196,2.4131,2.1208
Segment:G,10/20/2007,1.9366,1.8778,1.8227,1.7728,1.7752,1.7879,1.8492,1.9066,1.967,2.1355,2.3913,2.5223,2.613,2.4584,2.4233,2.4272,2.4761,2.3935,2.4443,2.4259,2.3527,2.2122,2.0865,1.8872
Segment:G,10/21/2007,1.803,1.7689,1.7691,1.7176,1.7595,1.725,1.7003,1.7093,1.6267,1.8119,1.9679,2.1217,2.27,2.2763,2.325,2.241,2.1415,2.1335,2.1728,2.1677,2.1604,2.0244,1.9198,1.8703
Segment:G,10/22/2007,1.8393,1.731,1.717,1.702,1.7024,1.7393,1.9033,2.1537,2.2033,2.5863,2.8421,3.0109,3.1467,3.2999,3.3919,3.4704,3.3505,3.1391,2.9996,2.8486,2.798,2.4599,2.2228,1.9613
Segment:G,10/23/2007,1.9449,1.8688,1.8266,1.8238,1.7984,1.8269,1.959,2.2318,2.2672,2.7217,3.0875,3.2691,3.3942,3.5468,3.5605,3.5872,3.5439,3.2848,3.3433,3.1264,2.9076,2.6637,2.3353,2.1193
Segment:G,10/24/2007,2.0859,2.0018,1.9296,1.8433,1.8498,1.8827,2.0573,2.3392,2.4819,2.9848,3.272,3.1877,3.2452,3.2943,3.2988,3.308,3.1547,3.1735,3.0572,2.7512,2.5869,2.4222,2.1084,1.888
Segment:G,10/25/2007,1.8342,1.8229,1.7795,1.7455,1.7283,1.7678,1.9758,2.2827,2.2975,2.5471,2.797,3.0114,2.9572,3.1158,3.0682,3.0746,3.0442,2.8893,2.9117,2.709,2.6314,2.3979,2.2202,1.9958
Segment:G,10/26/2007,1.9168,1.7962,1.7717,1.7592,1.7608,1.8292,1.9572,2.2666,2.4259,2.9733,2.9638,3.1507,3.1403,3.1658,3.0207,2.9629,2.854,2.779,2.6707,2.5328,2.4313,2.3838,2.1649,1.996
Segment:G,10/27/2007,1.8735,1.8113,1.7283,1.7269,1.6983,1.6963,1.7366,1.8658,1.9749,2.3255,2.4052,2.4519,2.3033,2.2847,2.3256,2.4127,2.3374,2.2062,2.3401,2.3295,2.3406,2.2438,2.005,1.914
Segment:G,10/28/2007,1.8914,1.7728,1.7692,1.7103,1.7292,1.6954,1.7153,1.7531,1.6798,1.6828,1.8764,2.0371,2.0621,2.1855,2.1449,2.0381,2.0189,1.8175,2.0776,2.2427,2.2708,2.0864,1.9484,1.9173
Segment:G,10/29/2007,1.8461,1.836,1.7783,1.774,1.799,1.8847,2.0333,2.4005,2.5268,3.1502,3.2351,3.2006,3.1714,3.0768,3.0331,3.0542,3.0149,2.7759,2.584,2.6344,2.6048,2.4483,2.2097,2.0451
Segment:G,10/30/2007,2.0348,1.9766,1.9453,1.9181,1.8898,2,2.1903,2.5148,2.5362,2.8938,2.9995,3.0633,2.9852,2.9855,3.06,3.1322,3.0456,2.8161,2.7362,2.7463,2.7093,2.4414,2.2093,2.0198
Segment:G,10/31/2007,1.9487,1.9374,1.8616,1.8553,1.8716,1.9372,2.1313,2.4238,2.4517,2.7441,2.8855,2.9602,3.0625,2.9626,2.8917,2.9198,2.9319,2.56,2.6543,2.7113,2.77,2.4231,2.2074,1.9681
Segment:G,11/1/2007,1.8797,1.8373,1.8018,1.7866,1.8101,1.832,2.0285,2.2859,2.3385,2.5493,2.8178,2.8667,2.9844,3.0417,2.9453,3.0298,2.932,2.7136,2.6541,2.5839,2.4637,2.2559,2.0757,2.0028
Segment:G,11/2/2007,1.8788,1.8574,1.8179,1.8302,1.825,1.8697,2.074,2.3781,2.5937,2.6879,2.8962,2.9741,2.9584,2.9791,2.8992,2.7604,2.6856,2.5543,2.7772,2.7076,2.5167,2.3738,2.1478,2.066
Segment:G,11/3/2007,1.9381,1.8957,1.8216,1.8266,1.8483,1.8114,1.9098,2.0064,2.0704,2.1712,2.2938,2.2957,2.2897,2.2872,2.4138,2.4489,2.2845,2.2057,2.1635,2.3372,2.2741,2.2646,2.0925,2.0284
Segment:G,11/4/2007,1.9742,3.9281,1.9208,1.8685,1.8596,1.9003,1.8949,1.7947,1.7137,1.9962,2.0828,2.2202,2.1986,2.1034,2.0352,1.973,2.1075,2.1331,2.2244,2.1714,2.1185,2.0378,2.0319,1.9922
Segment:G,11/5/2007,1.9495,1.938,1.873,1.9105,1.9682,2.0467,2.2437,2.4793,2.5955,2.9282,3.0153,3.0175,2.9716,2.9067,2.8132,2.8984,2.9641,3.0774,2.8563,2.7052,2.5518,2.4815,2.1731,2.1232
Segment:G,11/6/2007,1.884,1.8741,1.8677,1.8595,1.8423,1.9317,2.1557,2.3434,2.4731,2.9274,3.1566,3.2784,3.342,3.2772,3.1805,3.119,3.0247,3.0272,3.087,2.96,2.773,2.4681,2.1973,2.0542
Segment:G,11/7/2007,2.0258,2.0224,1.9895,2.0408,1.9619,2.1253,2.2511,2.4198,2.2999,2.8472,3.3154,3.2845,3.329,3.2351,3.2546,3.3043,3.4393,3.3092,3.009,2.9939,2.8115,2.487,2.3976,2.149
Segment:G,11/8/2007,2.0791,2.0571,2.0456,2.081,2.0474,2.3206,2.4946,2.6781,2.7833,3.2051,3.3804,3.4542,3.3951,3.3324,3.3316,3.2285,3.2518,3.1439,3.213,2.9446,2.771,2.6846,2.38,2.2934
Segment:G,11/9/2007,2.1776,2.2793,2.2269,2.1856,2.2571,2.2967,2.5542,2.8559,2.8606,3.3599,3.3627,3.5423,3.3573,3.3343,3.3615,3.3473,3.2785,3.2694,3.1474,2.8594,2.7378,2.5947,2.3436,2.215
Segment:G,11/10/2007,2.1294,2.0379,2.048,2.005,2.0391,2.1227,2.1193,2.1819,2.4732,2.7785,2.8132,2.8374,2.7613,2.6838,2.7119,2.6388,2.774,2.8552,2.8568,2.7518,2.6124,2.6594,2.3749,2.3426
Segment:G,11/11/2007,2.2381,2.1824,2.1724,2.1581,2.1017,2.1916,2.1428,2.2772,2.2223,2.3557,2.3779,2.5854,2.6129,2.5287,2.4413,2.237,2.2586,2.402,2.4981,2.3971,2.3366,2.209,2.251,2.1079
Segment:G,11/12/2007,2.0653,1.9678,2.024,1.9678,2.0071,2.1042,2.2561,2.6791,2.685,2.9835,3.3978,3.481,3.4412,3.3743,3.1284,3.0984,3.1001,3.075,3.0952,2.8351,2.692,2.4298,2.2034,2.0397
Segment:G,11/13/2007,2.0284,2.0011,1.9174,1.9251,1.9617,2.0134,2.1826,2.3341,2.523,2.9672,3.2432,3.2438,3.0088,3.0317,3.0424,3.0573,3.1033,3.0767,2.9135,2.8442,2.6147,2.4429,2.2773,2.0328
Segment:G,11/14/2007,1.9923,1.9291,1.8604,1.8743,1.8854,1.928,2.1305,2.3864,2.4931,2.937,3.3302,3.2561,3.3003,3.2103,3.1924,3.166,3.2924,3.2523,3.1148,2.7617,2.7366,2.4403,2.1748,2.0305
Segment:G,11/15/2007,1.9401,1.8343,1.8575,1.8704,1.8301,1.9032,2.0444,2.3128,2.4706,2.9043,3.3116,3.631,3.5154,3.4283,3.4475,3.4284,3.3749,3.2336,3.2705,3.0008,2.6901,2.6553,2.3058,2.089
Segment:G,11/16/2007,2.1282,2.0861,2.0186,1.9823,2.0676,2.2608,2.3239,2.5737,2.7213,3.0162,3.4456,3.4547,3.5159,3.4401,3.4054,3.2815,3.353,3.4441,3.3161,2.9085,2.7439,2.7251,2.4777,2.2407
Segment:G,11/17/2007,2.2891,2.2164,2.1624,2.1383,2.0798,2.2448,2.3017,2.2826,2.5779,2.8008,2.917,2.8243,2.7995,2.8915,2.7963,2.6239,2.7736,2.7698,2.8321,2.8484,2.6666,2.4446,2.2716,2.2467
Segment:G,11/18/2007,2.085,2.0445,2.0867,1.9454,1.9663,2.096,1.9744,2.0247,2.1139,1.9875,2.2035,2.3932,2.6124,2.5455,2.5444,2.4228,2.3745,2.3355,2.5407,2.3505,2.3648,2.2407,2.1666,2.1595
Segment:G,11/19/2007,2.1548,2.0857,2.0881,2.1112,2.0731,2.2654,2.4131,2.6113,2.8842,3.4988,3.8424,3.7232,3.7722,3.7569,3.7317,3.7582,3.6394,3.6416,3.3506,3.1333,2.9181,2.7154,2.4002,2.2474
Segment:G,11/20/2007,2.2686,2.2362,2.106,2.1391,2.1665,2.2086,2.41,2.6775,2.8447,3.594,3.5689,3.4057,3.4847,3.4699,3.2111,3.2094,3.113,2.9785,3.0767,2.9082,2.6933,2.4841,2.2387,2.1007
Segment:G,11/21/2007,2.0095,1.9902,1.9775,1.9074,1.9206,2.0635,2.2892,2.2914,2.6775,3.1266,3.2458,3.1884,3.1518,3.0822,3.037,2.8047,2.7638,2.7923,2.6793,2.6301,2.6802,2.476,2.196,1.9507
Segment:G,11/22/2007,1.924,1.9086,1.8761,1.8504,1.8676,1.9043,1.8414,1.7286,1.7989,1.9455,1.947,1.9466,1.845,1.8563,1.816,1.7225,1.7513,1.9355,2.0031,2.0604,2.0251,2.0014,1.9835,1.9774
Segment:G,11/23/2007,1.9613,1.9227,1.9537,1.9731,2.0553,2.1678,2.2848,2.4199,2.5692,2.8173,2.9196,2.8882,2.8927,2.9366,2.8492,2.6747,2.7645,3.1951,2.9627,2.8062,2.6984,2.5669,2.461,2.354
Segment:G,11/24/2007,2.3087,2.2685,2.277,2.3046,2.3444,2.453,2.6666,2.5278,2.7124,2.7454,2.9483,2.8949,2.7738,2.5848,2.519,2.5015,2.6811,3.1199,2.9426,2.7473,2.6166,2.5108,2.2949,2.3001
Segment:G,11/25/2007,2.1615,2.1596,2.1919,2.1375,2.1485,2.2169,2.3633,2.1711,2.1261,2.4586,2.4245,2.4176,2.6874,2.4135,2.326,2.399,2.439,2.5614,2.588,2.5373,2.5593,2.2907,2.2072,2.1436
Segment:G,11/26/2007,2.1022,2.0305,2.0423,2.065,2.1413,2.1468,2.4222,2.8443,3.2135,3.5754,3.5895,3.4474,3.4767,3.5243,3.4497,3.3777,3.4449,3.3173,3.17,2.9804,2.7553,2.4607,2.1799,2.0886
Segment:G,11/27/2007,1.9529,1.9496,1.8786,1.8926,1.914,1.9749,2.2563,2.3336,2.6215,3.1673,3.2825,3.3344,3.235,3.321,3.2538,3.1844,3.1693,3.1769,3.007,2.9323,2.8334,2.5085,2.1973,2.1333
Segment:G,11/28/2007,2.1864,2.0577,2.1155,2.1137,2.1364,2.3461,2.5275,2.8367,2.9809,3.5009,3.6136,3.5224,3.4863,3.4723,3.4721,3.3803,3.3939,3.4937,3.3777,3.3597,2.9815,2.8677,2.4657,2.369
Segment:G,11/29/2007,2.1296,2.2586,2.1852,2.1428,2.3229,2.325,2.7072,2.9499,2.9707,3.344,3.6114,3.6123,3.5822,3.4984,3.3269,3.2162,3.2654,3.3664,3.1315,3.0953,2.7775,2.5623,2.324,2.2664
Segment:G,11/30/2007,2.3067,2.1343,2.2641,2.136,2.3617,2.3515,2.8045,3.0332,3.1216,3.3005,3.7259,3.5984,3.4429,3.287,3.3174,3.2588,3.4681,3.5304,3.3699,3.1557,2.9407,2.7983,2.6131,2.3326
"Segment:G	11/30/2007	2.3067	2.1343	2.2641	2.136	2.3617	2.3515	2.8045	3.0332	3.1216	3.3005	3.7259	3.5984	3.4429	3.287	3.3174	3.2588	3.4681	3.5304	3.3699	3.1557	2.9407	2.7983	2.6131	2.3326",,,,,,,,,,,,,,,,,,,,,,,,,
